timestamp,price,volume_24h,market_cap,price_dex,liquidity_usd,fdv,volume_dex_24h
2025-10-09 22:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-09 22:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-09 23:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-09 23:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-10 00:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-10 00:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-10 01:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-10 01:00 UTC,,,,0.1511,148620854.54,149630876,22232.55
2025-10-10 02:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 02:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 03:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 03:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 04:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 04:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 05:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 05:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 06:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 06:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 07:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 07:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 08:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 08:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 09:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 09:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 10:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 10:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 11:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 11:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 12:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 12:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 13:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 13:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 14:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 14:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 15:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 15:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 16:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 16:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 17:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 17:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 18:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 18:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 19:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 19:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 19:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 20:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 20:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 21:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 21:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 22:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 22:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 23:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 23:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-10 23:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 00:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 00:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 00:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 01:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 01:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 01:00 UTC,,,,0.1234,121239650.95,122239407,3.99
2025-10-11 02:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 02:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 02:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 03:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 03:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 03:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 04:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 04:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 05:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 05:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 05:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 06:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 06:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 07:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 07:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 07:00 UTC,,,,0.151,148561367.56,149570985,3.99
2025-10-11 08:00 UTC,,,,0.1118,5326041.56,110676417,3339324.12
